Test	Confs. (features enabled)
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, GUI, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_MANAGER, GUI, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_MANAGER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_WHATEVER, GUI, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_DEPARTMENT, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_WHATEVER, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, GUI, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, GUI, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_MANAGER, GUI, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	CUT_NO_MANAGER, GUI
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_WHATEVER, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_WHATEVER, GUI
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, GUI
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:27)	ACCESS_CONTROL
tests.TestBasics.testTotalPojo(TestBasics.java:53)	ACCESS_CONTROL, GUI, LOGGING, PRECEDENCE
tests.TestBasics.testTotalPojo(TestBasics.java:53)	GUI, LOGGING, PRECEDENCE
tests.TestBasics.testTotalPojo(TestBasics.java:53)	GUI, PRECEDENCE
tests.TestBasics.testTotalPojo(TestBasics.java:53)	ACCESS_CONTROL, GUI, LOGGING
tests.TestBasics.testTotalPojo(TestBasics.java:53)	ACCESS_CONTROL
tests.TestBasics.testTotalPojo(TestBasics.java:53)	ACCESS_CONTROL, PRECEDENCE
tests.TestBasics.testTotalPojo(TestBasics.java:53)	ACCESS_CONTROL, LOGGING
tests.TestBasics.testTotalPojo(TestBasics.java:53)	GUI
tests.TestBasics.testTotalPojo(TestBasics.java:53)	ACCESS_CONTROL, GUI, PRECEDENCE
tests.TestBasics.testTotalPojo(TestBasics.java:53)	LOGGING
tests.TestBasics.testTotalPojo(TestBasics.java:53)	ACCESS_CONTROL, GUI
tests.TestBasics.testTotalPojo(TestBasics.java:53)	
tests.TestBasics.testTotalPojo(TestBasics.java:53)	GUI, LOGGING
tests.TestBasics.testTotalPojo(TestBasics.java:53)	PRECEDENCE
tests.TestBasics.testTotalPojo(TestBasics.java:53)	LOGGING, PRECEDENCE
tests.TestBasics.testTotalPojo(TestBasics.java:53)	ACCESS_CONTROL, LOGGING, PRECEDENCE
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	PRECEDENCE
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	GUI, LOGGING
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	LOGGING, PRECEDENCE
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	ACCESS_CONTROL, GUI
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	ACCESS_CONTROL
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	GUI
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	ACCESS_CONTROL, GUI, PRECEDENCE
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	ACCESS_CONTROL, LOGGING
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	ACCESS_CONTROL, PRECEDENCE
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	ACCESS_CONTROL, GUI, LOGGING, PRECEDENCE
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	GUI, PRECEDENCE
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	LOGGING
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	ACCESS_CONTROL, LOGGING, PRECEDENCE
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	GUI, LOGGING, PRECEDENCE
tests.TestCombinations.checkForDisabledReadAccess(TestCombinations.java:90)	ACCESS_CONTROL, GUI, LOGGING
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_WHATEVER, LOGGING
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_MANAGER, GUI, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_WHATEVER, GUI
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_MANAGER
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_DEPARTMENT
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_DEPARTMENT, GUI, LOGGING, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_MANAGER, GUI, LOGGING, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_WHATEVER, GUI, LOGGING
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_MANAGER, LOGGING, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_DEPARTMENT, LOGGING, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_MANAGER, GUI, LOGGING
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_MANAGER, GUI
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_WHATEVER
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_WHATEVER, GUI, PRECEDENCE
