Test	Confs. (features enabled)
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, ARCHIVECHECK, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	COMPRESS, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ARCHIVECHECK, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, COMPRESS, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, EXTRACT
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testDERIVATIVE_EXTRACT_CRC___(Example_Paulo.java:187)	ADLER32CHECKSUM, ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, EXTRACT
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ARCHIVECHECK, EXTRACT
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, CRC
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, CRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ARCHIVECHECK, CRC
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ARCHIVECHECK, CRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ARCHIVECHECK, COMPRESS, EXTRACT
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, EXTRACT
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, DERIVATIVE_COMPRESS_ADLER32CHECKSUM
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ARCHIVECHECK, COMPRESS
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ADLER32CHECKSUM, ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo2.testARCHIVECHECK(Example_Paulo2.java:55)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
