Test	Confs. (features enabled)
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	DIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	DIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED, NUMBER, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, DIRECTED, NUMBER, SEARCH
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	MSTPRIM, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, DIRECTED, SEARCH
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, MSTPRIM, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	DIRECTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	CONNECTED, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	CONNECTED, MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	CONNECTED, MSTPRIM, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	CONNECTED, MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	CONNECTED, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchConnected(MultiFeatureTest_Caio.java:151)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchCycle(MultiFeatureTest_Caio.java:102)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchCycle(MultiFeatureTest_Caio.java:102)	UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchCycle(MultiFeatureTest_Caio.java:102)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchCycle(MultiFeatureTest_Caio.java:102)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.GraphSearchCycle(MultiFeatureTest_Caio.java:102)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchCycle(MultiFeatureTest_Caio.java:102)	DIRECTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	CONNECTED, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	CONNECTED, MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	DIRECTED
tests.MultiFeatureTest_Caio.GraphSearchNumber(MultiFeatureTest_Caio.java:127)	DIRECTED, NUMBER, WEIGHTED
tests.MultiFeatureTest_Caio.GraphSearchSTRConnected(MultiFeatureTest_Caio.java:174)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchSTRConnected(MultiFeatureTest_Caio.java:174)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchSTRConnected(MultiFeatureTest_Caio.java:174)	UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchSTRConnected(MultiFeatureTest_Caio.java:174)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.GraphSearchSTRConnected(MultiFeatureTest_Caio.java:174)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.GraphSearchSTRConnected(MultiFeatureTest_Caio.java:174)	DIRECTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:198)	NUMBER, UNDIRECTED
