Test	Confs. (features enabled)
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, DIRECTED, SEARCH
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, DIRECTED, NUMBER, SEARCH
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:339)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	DIRECTED, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, CONNECTED, SEARCH, UNDIRECTED
