Test	Confs. (features enabled)
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	DIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	DIRECTED, NUMBER
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	NUMBER, UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, DIRECTED, SEARCH
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	DIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	CONNECTED, NUMBER, UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	DIRECTED, NUMBER, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	CONNECTED, MSTPRIM, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	CONNECTED, MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	CONNECTED, UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	DIRECTED, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	CONNECTED, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	NUMBER, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	DIRECTED, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	DIRECTED, WEIGHTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	BFS, DIRECTED, SEARCH
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	BFS, DIRECTED, NUMBER, SEARCH
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	DIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	DIRECTED, NUMBER, WEIGHTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	DIRECTED, NUMBER
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	CONNECTED, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	NUMBER, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	BFS, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	CONNECTED, NUMBER, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	BFS, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	NUMBER, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	BFS, DIRECTED, SEARCH
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	BFS, DIRECTED, NUMBER, SEARCH
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	DIRECTED, NUMBER
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	CONNECTED, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	DIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	CONNECTED, NUMBER, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	CONNECTED, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	DIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	DIRECTED, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	NUMBER, UNDIRECTED, WEIGHTED
